latitude,longitude,county
43.466667,101.51667,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
-9.696665,39.228008,Lindi
44.802925,90.046516,奇台县
37.0825,-111.663612,Utah
-16.808332,28.275,Kariba
44.183331,5.9,Alpes-de-Haute-Provence
32.403481,105.805908,四川省
-9.681635,39.228348,Lindi
-37.452221,-68.943336,Neuquén
41.366402,124.683601,辽宁省
39.360001,108.410004,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
51.50914,-112.842682,Division No. 5
-37.394444,-69.140556,Neuquén
-30.119198,-67.897858,San Juan
41.333057,72.125,Аксы району
50.786999,-111.601021,County of Newell
-29.85,-68.066666,La Rioja
32.041893,-6.282146,cercle d'Ouaouizeght
-40.057777,-66.800835,Río Negro
36.2925,-108.549721,San Juan County
43.491669,101.275002,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
-39.59222,-69.396942,Neuquén
49.0644,8.9764,Landkreis Heilbronn
29.4,104.783302,四川省
45.171223,88.9217,富蕴县 كوكتوعاي اۋدانى‎
-43.416218,-69.163521,Chubut
39.878601,123.438904,辽宁省
50.900002,-111.800003,Division No. 4
41.333332,119.666664,辽宁省
50.688,-111.616669,Division No. 2
-38.781387,143.403885,Victoria
-7.55,-40.566666,Pernambuco
24.1789,114.82,东源县
44.579723,109.444443,Сайхандулаан ᠰᠠᠶᠢᠬᠠᠨᠳᠤᠯᠠᠭᠠᠨ
50.599998,-111.620003,County of Newell
43.733334,112.01667,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
41.619801,120.896103,辽宁省
31.416668,107.633331,宣汉县
43.59111,107.76667,Манлай ᠮᠩᠯᠠᠢ
46.043884,85.792046,新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی
-9.656345,39.251282,Lindi
-39.628613,-69.184166,Río Negro
-38.941151,-68.058479,Neuquén
51.542702,-112.818901,Starland County
28.700001,104.516701,四川省
43.150002,99.449997,Шинэжинст ᠰᠢᠨᠡᠵᠢᠩᠰᠡᠲᠦ
44.34,109.858887,Улаанбадрах ᠤᠯᠠᠭᠠᠨᠪᠠᠳᠠᠷᠠᠬᠤ
-38.451462,-68.688309,Neuquén
-9.684436,39.221272,Lindi
16.416668,9.1,Tchirozérine
51.862801,-113.005402,Starland County
49.007839,11.826369,Landkreis Kelheim
41.28611,103.87722,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
16.700001,9.333333,Tchirozérine
50.741596,-111.559807,Division No. 2
41.583332,97.583336,肃北蒙古族自治县 ᠰᠦᠪᠧᠢ ᠶᠢᠨ ᠮᠣᠩᠭᠣᠯ ᠦᠨᠳᠦᠰᠦᠲᠡᠨ ᠦ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠤ ᠰᠢᠶᠠᠨ
-49.845554,-72.105835,Santa Cruz
51.746399,-112.958298,Kneehill County
-37.383331,-68.900002,Neuquén
43.0,99.0,Шинэжинст ᠰᠢᠨᠡᠵᠢᠩᠰᠡᠲᠦ
-29.85,27.25,Mafeteng District
33.130001,-117.29528,San Diego County
50.806515,-111.597153,Special Area No. 2
28.33639,28.984722,الجيزة
41.433701,103.538498,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
50.751602,-111.476532,Division No. 2
16.772223,7.165,Tchirozérine
41.799999,120.73333,辽宁省
50.745419,-111.489265,Division No. 2
28.5,9.566667,Daïra d'In Amenas
-22.25,142.483337,Queensland
45.603615,22.845142,Hunedoara
27.811943,-101.156387,Sabinas
43.664444,100.901947,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
43.566387,100.48278,Гурвантэс ᠭᠤᠷᠪᠠᠨᠲᠡᠰ
-43.358639,-69.187279,Chubut
-39.628613,-68.700836,Río Negro
50.870098,-112.993599,Division No. 5
