specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specelt_no,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
18653,spm,,517548,0,52481,AMNH 5438,,,,tibia,,1,table,,,Daspletosaurus torosus,species,57258,,Daspletosaurus torosus,species,57258,83.6,72.1,34423,-111.616669,50.688,CA,Alberta,,based on nearby landmark,3,small collection,"R bank Sand Creek, 75 ft above river, near Red Deer River, Little Sandhill Creek basin"
18654,spm,,498881,0,47346,AMNH 3041,holotype,,,femur,,1,table,,,Microvenator celer,species,65860,,Microvenator celer,species,65860,109.9,93.9,34423,-109.685501,46.337502,US,Montana,Wheatland,stated in text,4,small collection,"SW 1/4, sec 26, T7N, R16E, Wheatland Co., MT. Middle Dome, 12 miles SE of Harlowton"
18655,spm,,498881,0,47346,AMNH 3041,holotype,,,tibia,,1,table,,,Microvenator celer,species,65860,,Microvenator celer,species,65860,109.9,93.9,34423,-109.685501,46.337502,US,Montana,Wheatland,stated in text,4,small collection,"SW 1/4, sec 26, T7N, R16E, Wheatland Co., MT. Middle Dome, 12 miles SE of Harlowton"
18665,spm,,520508,15740,53054,A.N.S.P. 15202,,,,femur,,1,table,,width is mid-shaft breadth,Hadrosauridae,family,38755,,Hadrosauridae,family,38755,72.1,66,9209,-75.144341,39.766502,US,New Jersey,Gloucester,based on nearby landmark,7,small collection,"in a pit of the Hungerford & Terry Corp., near Sewell"
18666,spm,,486505,0,48725,A.N.S.P. 10005,holotype,,,femur,,1,table,,width is mid-shaft breadth,Hadrosaurus foulkii,species,52812,,Hadrosaurus foulkii,species,52812,83.6,72.1,9209,-75.028053,39.909443,US,New Jersey,Camden,estimated from map,seconds,small collection,"farm of John E. Hopkins, marl pit, bed of narrow ravine with brook flowing E into S branch of Cooper's Creek"
18667,spm,,255376,12320,24790,A.M.N.H. 5730,holotype,,,femur,,1,table,,width is mid-shaft breadth,Anatosaurus copei,species,53383,subjective synonym of,Edmontosaurus annectens,species,54239,72.1,66,9209,-102.497498,45.135834,US,South Dakota,Perkins,based on nearby landmark,seconds,small collection,"listed only as Dakota, but emended to ""near Moreau River, Black Hills, SD"" by Brett-Surman (1990); coordinates are for ""Moreau River badlands""; area is N of the Black Hills. Listed as ""north-east of the Black Hills"" in Osborn 1909."
18668,spm,,486010,0,48627,Geol. Survey Canada no. 8537,holotype,,,humerus,,1,table,,width is least diameter,Thescelosaurus edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,72.1,66,18598,-112.993599,50.870098,CA,Alberta,,stated in text,4,small collection,"SE 1/4, sec 35, T33, R22, W 4th meridian; about 8 mi NW of Rumsey, 260 ft above Red Deer River"
18669,spm,,486010,0,48627,Geol. Survey Canada no. 8537,holotype,,,femur,,1,table,,width is least diameter,Thescelosaurus edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,72.1,66,18598,-112.993599,50.870098,CA,Alberta,,stated in text,4,small collection,"SE 1/4, sec 35, T33, R22, W 4th meridian; about 8 mi NW of Rumsey, 260 ft above Red Deer River"
18670,spm,,486010,0,48627,Geol. Survey Canada no. 8537,holotype,,,tibia,,1,table,,width is least diameter,Thescelosaurus edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,72.1,66,18598,-112.993599,50.870098,CA,Alberta,,stated in text,4,small collection,"SE 1/4, sec 35, T33, R22, W 4th meridian; about 8 mi NW of Rumsey, 260 ft above Red Deer River"
18671,spm,,486010,0,48627,Geol. Survey Canada no. 8537,holotype,,,fibula,,1,table,,diameter not stated,Thescelosaurus edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,72.1,66,18598,-112.993599,50.870098,CA,Alberta,,stated in text,4,small collection,"SE 1/4, sec 35, T33, R22, W 4th meridian; about 8 mi NW of Rumsey, 260 ft above Red Deer River"
18672,spm,,260042,0,25149,M.U.O. 8-9-S9,holotype,,,femur,,1,table,,no diameter stated,Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,121.4,113,7059,-95.792221,34.18,US,Oklahoma,Atoka,stated in text,seconds,small collection,"3/4 mile east of paratype site (SE part of SW 1/4 of section 26, T4S, R14E, Oklahoma Indian meridian), Atoka County, OK"
18673,spm,,260042,0,25149,M.U.O. 8-9-S9,holotype,,,tibia,,1,table,,width is least antero-posterior diameter (transverse diameter is greater),Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,121.4,113,7059,-95.792221,34.18,US,Oklahoma,Atoka,stated in text,seconds,small collection,"3/4 mile east of paratype site (SE part of SW 1/4 of section 26, T4S, R14E, Oklahoma Indian meridian), Atoka County, OK"
18674,spm,,260042,0,25149,M.U.O. 8-9-S9,holotype,,,fibula,,1,table,,"with is ""of shaft and [sic] midlength""",Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,121.4,113,7059,-95.792221,34.18,US,Oklahoma,Atoka,stated in text,seconds,small collection,"3/4 mile east of paratype site (SE part of SW 1/4 of section 26, T4S, R14E, Oklahoma Indian meridian), Atoka County, OK"
18675,spm,,475161,30612,47147,HMN SII,holotype,,,femur,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n2090 mm according to Paul 1988\r\ncircumference based on Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18676,spm,,475161,30612,47147,HMN SII,holotype,,,tibia,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18677,spm,,475161,30612,47147,HMN SII,holotype,,,humerus,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n2130 mm according to Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18678,spm,,475161,30612,47147,HMN SII,holotype,,,radius,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1240 mm according to Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18679,spm,,475161,30612,47147,HMN SII,holotype,,,ulna,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\nnot measured by Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18680,spm,,475161,30612,47147,HMN SII,holotype,,,pubis,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18681,spm,,475161,30612,47147,HMN SII,holotype,,,scapula,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1929 mm according to Paul 1988",Brachiosaurus brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,152.2,145,34472,39.223774,-9.711796,TZ,Lindi,,based on nearby landmark,6,small collection,"1.0 km SSW of Tendaguru Hill, near two baobab trees in the Kitukituki streambed"
18682,spm,,508088,0,51572,,holotype,,,femur,,1,table,,"additional ""measurements"" are given for tibia, humerus, radius, ulna, pubis, and scapula, but these are ""increased from"" other specimens that may include A. wichmannianus and definitely include A. septentrionalis\r\nfigure of 2310 mm repeated by Paul 1988, who also gives circumference and lists the specimen as MP A2300",Antarctosaurus giganteus,species,66265,nomen dubium,Antarctosaurus,genus,38685,89.8,83.6,34472,-70.283333,-36.936199,AR,Neuquén,Confluencia,based on nearby landmark,4,small collection,"15 km N of Cerro China Muerta, on road halfway between Senillosa and Plottier, 22 km W of Neuquén, close to the L bank of the Río Limay"
18690,spm,,474524,0,21852,,,,,femur,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18691,spm,,474524,0,21852,,,,,tibia,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18692,spm,,474524,0,21852,,,,,humerus,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18693,spm,,474524,0,21852,,,,,radius,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18694,spm,,474524,0,21852,,,,,ulna,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18695,spm,,474524,0,21852,,,,,pubis,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18696,spm,,474524,0,21852,,,,,scapula,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus louisae,species,57752,,Apatosaurus louisae,species,57752,149.2,146.3,34472,-109.300552,40.441387,US,Utah,Uintah,stated in text,seconds,outcrop,"The ""Carnegie Quarry"" (quarry exhibit wall), E of Vernal, now the main visitor center in Dinosaur National Monument. A sandstone hogback in sec. 26, T4S, R23E, Salt Lake meridian."
18697,spm,,486009,0,48626,USNM 7757,holotype,,,ulna,,1,table,,see also Galton 1974,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12059,-104.570831,43.272221,US,Wyoming,Niobrara,based on nearby landmark,seconds,small collection,
18698,spm,,486009,0,48626,USNM 7757,holotype,,,radius,,1,table,,see also Galton 1974,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12059,-104.570831,43.272221,US,Wyoming,Niobrara,based on nearby landmark,seconds,small collection,
18699,spm,,486009,0,48626,USNM 7757,holotype,,,femur,,1,table,,see also Galton 1974; said to be 335 by Horner and Weishampel 1988,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12059,-104.570831,43.272221,US,Wyoming,Niobrara,based on nearby landmark,seconds,small collection,
18700,spm,,486009,0,48626,USNM 7757,holotype,,,tibia,,1,table,,see also Galton 1974,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12059,-104.570831,43.272221,US,Wyoming,Niobrara,based on nearby landmark,seconds,small collection,
18701,spm,,486009,0,48626,USNM 7757,holotype,,,fibula,,1,table,,see also Galton 1974,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12059,-104.570831,43.272221,US,Wyoming,Niobrara,based on nearby landmark,seconds,small collection,
18702,spm,,529358,30775,54081,AMNH 5031,,,,humerus,,1,table,,215 by 22 according to Gilmore 1915,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623,-105.977776,47.682777,US,Montana,McCone,estimated from map,seconds,small collection,"near head of Rock Creek, 25 mi SE of Lismas"
18703,spm,,529358,30775,54081,AMNH 5031,,,,tibia,,1,table,,no minimum width,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623,-105.977776,47.682777,US,Montana,McCone,estimated from map,seconds,small collection,"near head of Rock Creek, 25 mi SE of Lismas"
18704,spm,,529357,30776,54080,AMNH 5034,,,,humerus,,1,table,,,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623,-106.277779,47.812222,US,Montana,,estimated from map,seconds,small collection,"Sandy/Sand Arroyo, 20 mi SE of Lismas"
18705,spm,,529357,30776,54080,AMNH 5034,,,,ulna,,1,table,,no minimum width,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623,-106.277779,47.812222,US,Montana,,estimated from map,seconds,small collection,"Sandy/Sand Arroyo, 20 mi SE of Lismas"
18706,spm,,529357,30776,54080,AMNH 5034,,,,radius,,1,table,,,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623,-106.277779,47.812222,US,Montana,,estimated from map,seconds,small collection,"Sandy/Sand Arroyo, 20 mi SE of Lismas"
18707,spm,,485997,0,48624,ROM 804,holotype,,,humerus,,1,table,,minimum width (156) appears to be in error,Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18708,spm,,485997,0,48624,ROM 804,holotype,,,ulna,,1,table,,"no minimum width and length stated as ""47"" (I assume the 1 was left out)",Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18709,spm,,485997,0,48624,ROM 804,holotype,,,radius,,1,table,,no minimum width and length placed in quotes,Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18710,spm,,485997,0,48624,ROM 804,holotype,,,femur,,1,table,,no minimum width,Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18711,spm,,485997,0,48624,ROM 804,holotype,,,tibia,,1,table,,no minimum width; said to be 300 mm by Horner and Weishampel 1988,Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18712,spm,,485997,0,48624,ROM 804,holotype,,,fibula,,1,table,,,Thescelosaurus warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,72.1,66,12623,-111.800003,50.900002,CA,Alberta,,based on nearby landmark,1,small collection,"ca. 0.5 miles from Red Deer River, E side, immediately S of road to Rumsey Ferry, 100 feet above river"
18713,spm,,280868,0,26793,BMNH R196,,,,humerus,,1,table,,,Iguanodon,genus,38749,,Iguanodon,genus,38749,132.6,119.5,12623,-1.383333,50.633331,UK,England,Isle of Wight,based on nearby landmark,minutes,small collection,"Brixton (now Brighstone) Bay, near Cowleaze Chine and Barnes Chine, SW shore, Isle of Wight"
18714,spm,,280868,0,26793,BMNH R196,,,,ulna,,1,table,,,Iguanodon,genus,38749,,Iguanodon,genus,38749,132.6,119.5,12623,-1.383333,50.633331,UK,England,Isle of Wight,based on nearby landmark,minutes,small collection,"Brixton (now Brighstone) Bay, near Cowleaze Chine and Barnes Chine, SW shore, Isle of Wight"
